date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:57:26	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2001%20Dec%202016%2022:57:26%20GMT	http://albelad-computers.webflow.io/robots.txt		(from )
01:57:26	8156/8156	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202016%2022:57:26%20GMT	http://albelad-computers.webflow.io/	C:/WORK/WEB/http___albelad-computers.webflow.io_/albelad-computers.webflow.io/index.html	(from )
01:57:28	40860/40860	---M-Z	200	added ('OK')	text/css	etag:%22961ca2f801b8fa93763885d885c9d656%22	https://daks2k3a4ib2z.cloudfront.net/5840a9f1c5de377732c103f2/css/albelad-computers.webflow.b5dc64f3d.css	C:/WORK/WEB/http___albelad-computers.webflow.io_/daks2k3a4ib2z.cloudfront.net/5840a9f1c5de377732c103f2/css/albelad-computers.webflow.b5dc64f3d.css	(from http://albelad-computers.webflow.io/)
01:57:29	5267/5267	---M--	200	added ('OK')	application/javascript	etag:%22a89f4997162bf61e019b926e08682bdf%22	https://daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	C:/WORK/WEB/http___albelad-computers.webflow.io_/daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	(from http://albelad-computers.webflow.io/)
01:57:29	17698/17698	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202015%2018:44:35%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	C:/WORK/WEB/http___albelad-computers.webflow.io_/ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	(from http://albelad-computers.webflow.io/)
01:57:29	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://daks2k3a4ib2z.cloudfront.net/img/webclip.png	C:/WORK/WEB/http___albelad-computers.webflow.io_/daks2k3a4ib2z.cloudfront.net/img/webclip.png	(from http://albelad-computers.webflow.io/)
01:57:29	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2001%20Dec%202016%2022:57:29%20GMT	http://albelad-computers.webflow.io/about	C:/WORK/WEB/http___albelad-computers.webflow.io_/albelad-computers.webflow.io/about	(from http://albelad-computers.webflow.io/)
01:57:29	3418/3418	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202016%2022:57:29%20GMT	http://albelad-computers.webflow.io/contact	C:/WORK/WEB/http___albelad-computers.webflow.io_/albelad-computers.webflow.io/contact.html	(from http://albelad-computers.webflow.io/)
01:57:30	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2001%20Dec%202016%2022:57:30%20GMT	http://albelad-computers.webflow.io/projects/music-player	C:/WORK/WEB/http___albelad-computers.webflow.io_/albelad-computers.webflow.io/projects/music-player	(from http://albelad-computers.webflow.io/)
01:57:30	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2001%20Dec%202016%2022:57:30%20GMT	http://albelad-computers.webflow.io/projects/console-app	C:/WORK/WEB/http___albelad-computers.webflow.io_/albelad-computers.webflow.io/projects/console-app	(from http://albelad-computers.webflow.io/)
